osmid,x,y,nearest_pharmacy_m,accessibility_band
25347262,10.8971836,48.4053445,1952.5207911231832,> 1500 m
25347263,10.896984,48.404254,1830.3705870033475,> 1500 m
25347264,10.8980119,48.4042025,1762.3296299698452,> 1500 m
25347265,10.8970535,48.403073,1720.5511155776112,> 1500 m
25347266,10.8961396,48.4008554,1702.091094019649,> 1500 m
25347268,10.897339,48.4010705,1639.7050353556087,> 1500 m
25347269,10.8971585,48.4016847,1700.7270443465354,> 1500 m
25347270,10.8983294,48.4024855,1654.0037785699997,> 1500 m
25347271,10.8986984,48.401909,1584.3435815368869,> 1500 m
25347272,10.8989574,48.4013279,1516.8484726874444,> 1500 m
25347308,10.8907455,48.4081003,2704.8603619883,> 1500 m
25347310,10.890365,48.4063954,2544.923862455673,> 1500 m
25347313,10.8985369,48.4059185,1960.6841546243988,> 1500 m
25347321,10.8988341,48.4085466,2537.0359150481368,> 1500 m
25347323,10.8920876,48.4113833,2739.8905445051887,> 1500 m
25347325,10.898018,48.4031979,1648.0087490447213,> 1500 m
25347895,10.8973873,48.4120333,2294.751467428954,> 1500 m
25588777,10.9201363,48.4135249,1992.6233702921663,> 1500 m
25588780,10.9196387,48.4135569,1955.6932311294995,> 1500 m
25589692,10.9540534,48.3807839,1834.9354451285983,> 1500 m
25589694,10.9562188,48.381256,2022.606934507912,> 1500 m
26386794,10.9559055,48.3381658,1595.9845116392794,> 1500 m
26405925,10.8477517,48.3408073,1981.8513298264447,> 1500 m
26405926,10.8471034,48.3426872,2146.8747460394625,> 1500 m
26405927,10.8525545,48.3405235,1619.0008209314958,> 1500 m
26405928,10.8521652,48.3409438,1673.8835301120569,> 1500 m
26405929,10.8503406,48.3404579,1784.6359108712015,> 1500 m
26405930,10.8495761,48.3406234,1844.076558832356,> 1500 m
26405932,10.8506012,48.3414984,1808.5411513102183,> 1500 m
26405933,10.8520029,48.3411172,1696.5917528976254,> 1500 m
26405934,10.8514945,48.3422862,1831.9705173449815,> 1500 m
26405939,10.8487503,48.3407848,1907.8088801324957,> 1500 m
26405945,10.8494077,48.343514,2110.240179198207,> 1500 m
26405947,10.8507972,48.3407721,1778.0049492114572,> 1500 m
26405950,10.8512242,48.3435641,1975.869715629815,> 1500 m
26413390,10.9469295,48.3653087,1638.7373175624734,> 1500 m
26413437,10.9470668,48.3646006,1559.329163385907,> 1500 m
26413445,10.9480596,48.3647097,1549.2883910716712,> 1500 m
26413448,10.9479951,48.3654043,1626.7493936550318,> 1500 m
26501510,10.9265379,48.3913886,1516.5025680806143,> 1500 m
26501524,10.9275275,48.3895628,1562.7371825585958,> 1500 m
